Morgan Freeman, Morgan128@jhu.edu
Alec Baldwin, Alec280@jhu.edu
Halle Berry, Halle335@jhu.edu
Ryan Gosling, Ryan201@jhu.edu
Will Smith, Will203@jhu.edu
Albert Finney, Albert358@jhu.edu
Matt Damon, Matt130@jhu.edu
Saoirse Ronan, Saoirse192@jhu.edu
Jeff Bridges, Jeff101@jhu.edu
Helen Mirren, Helen136@jhu.edu
William Hurt, William234@jhu.edu
Christoph Waltz, Christoph134@jhu.edu
David Lynch, David349@jhu.edu
Judi Dench, Judi211@jhu.edu
Gus Van Sant, Gus172@jhu.edu
Martin Scorsese, Martin221@jhu.edu
Jake Gyllenhaal, Jake233@jhu.edu
Paul Giamatti, Paul232@jhu.edu
Amy Ryan, Amy193@jhu.edu
Naomi Watts, Naomi289@jhu.edu
James Cameron, James145@jhu.edu
Ken Watanabe, Ken284@jhu.edu
Catherine Keener, Catherine241@jhu.edu
Peter Weir, Peter298@jhu.edu
Colin Firth, Colin103@jhu.edu
Ben Kingsley, Ben276@jhu.edu
Holly Hunter, Holly293@jhu.edu
Tom Wilkinson, Tom184@jhu.edu
Philip Seymour Hoffman, Philip157@jhu.edu
Marisa Tomei, Marisa169@jhu.edu
Joaquin Phoenix, Joaquin228@jhu.edu
Julie Christie, Julie186@jhu.edu
Daniel Day-Lewis, Daniel176@jhu.edu
Meryl Streep, Meryl139@jhu.edu
