Christopher Nolan, Christopher10033@jhu.edu
Charlize Theron, Charlize238@jhu.edu
Woody Allen, Woody10205@jhu.edu
Matt Dillon, Matt231@jhu.edu
Paul Haggis, Paul247@jhu.edu
Robert Altman, Robert347@jhu.edu
Julia Roberts, Julia364@jhu.edu
Mila Kunis, Mila10022@jhu.edu
Julie Walters, Julie369@jhu.edu
Stephen Frears, Stephen223@jhu.edu
Joan Allen, Joan360@jhu.edu
Julian Schnabel, Julian195@jhu.edu
Mel Gibson, Mel10375@jhu.edu
Mickey Rourke, Mickey154@jhu.edu
David Fincher, David123@jhu.edu
Melissa Leo, Melissa117@jhu.edu
Tommy Lee Jones, Tommy178@jhu.edu
Anna Kendrick, Anna143@jhu.edu
Kate Hudson, Kate367@jhu.edu
Jennifer Connelly, Jennifer340@jhu.edu
Mo''Nique, Mo''Nique144@jhu.edu
Anne Hathaway, Anne160@jhu.edu
Spike Jonze, Spike10314@jhu.edu
Rachel Weisz, Rachel243@jhu.edu
Paul Greengrass, Paul224@jhu.edu
Kate Winslet, Kate164@jhu.edu
Istaán Szabó, Istaán10390@jhu.edu
Adriana Barraza, Adriana215@jhu.edu
Josh Brolin, Josh155@jhu.edu
Felicity Huffman, Felicity236@jhu.edu
Casey Affleck, Casey180@jhu.edu
Gabourey Sidibe, Gabourey138@jhu.edu
Quentin Tarantino, Quentin147@jhu.edu
Denzel Washington, Denzel328@jhu.edu
David Carradine, David10236@jhu.edu
Billy Bob Thornton, Billy10266@jhu.edu
Steven Spielberg, Steven249@jhu.edu
Jamie Foxx, Jamie254@jhu.edu
David O. Russell, David121@jhu.edu
Nicholas Cage, Nicholas10297@jhu.edu
Stanley Tucci, Stanley133@jhu.edu
Jim Carrey, Jim10226@jhu.edu
Peter Jackson, Peter296@jhu.edu
Woody Harrelson, Woody131@jhu.edu
Angeline Jolie, Angeline10012@jhu.edu
Ron Howard, Ron171@jhu.edu
Michael Stuhlbarg, Michael10054@jhu.edu
John Travolta, John10133@jhu.edu
Penélope Cruz, Penélope140@jhu.edu
Taylor Hackford, Taylor272@jhu.edu
Heath Ledger, Heath158@jhu.edu
Jim Broadbent, Jim330@jhu.edu
Clint Eastwood, Clint222@jhu.edu
Jennifer Lawrence, Jennifer112@jhu.edu
Nikki Blonsky, Nikki10116@jhu.edu
Mark Ruffalo, Mark108@jhu.edu
Ed Harris, Ed306@jhu.edu
Steven Soderbergh, Steven372@jhu.edu
Thomas Haden Church, Thomas256@jhu.edu
Nicolas Cage, Nicolas301@jhu.edu
Hal Holbrook, Hal183@jhu.edu
Ashley Judd, Ashley10222@jhu.edu
Dustin Hoffman, Dustin10089@jhu.edu
Marion Cotillard, Marion187@jhu.edu
Scarlett Johansson, Scarlett10195@jhu.edu
Michael Caine, Michael302@jhu.edu
Jackie Earle Haley, Jackie206@jhu.edu
George Clooney, George126@jhu.edu
Eddie Murphy, Eddie208@jhu.edu
Javier Bardem, Javier100@jhu.edu
Sophie Okonedo, Sophie268@jhu.edu
Imelda Staunton, Imelda262@jhu.edu
Sofia Coppola, Sofia297@jhu.edu
Ben Affleck, Ben10164@jhu.edu
 and Good Luck.", and248@jhu.edu
Ian McKellen, Ian333@jhu.edu
Uma Thurman, Uma10215@jhu.edu
Shohreh Aghdashloo, Shohreh290@jhu.edu
Maggie Smith, Maggie342@jhu.edu
Diane Lane, Diane312@jhu.edu
Bennett Miller, Bennett246@jhu.edu
Alec Baldwin, Alec280@jhu.edu
Emma Thompson, Emma10084@jhu.edu
Kristin Scott Thomas, Kristin10073@jhu.edu
Sam Mendes, Sam10104@jhu.edu
Halle Berry, Halle335@jhu.edu
Albery Finney, Albery10383@jhu.edu
Thora Birch, Thora10328@jhu.edu
Ryan Gosling, Ryan201@jhu.edu
William H. Macy, William10273@jhu.edu
Will Smith, Will203@jhu.edu
Albert Finney, Albert358@jhu.edu
Andrew Garfield, Andrew10027@jhu.edu
Matt Damon, Matt130@jhu.edu
Saoirse Ronan, Saoirse192@jhu.edu
Jeff Bridges, Jeff101@jhu.edu
Helen Mirren, Helen136@jhu.edu
Bob Hoskins, Bob10204@jhu.edu
William Hurt, William234@jhu.edu
Christoph Waltz, Christoph134@jhu.edu
David Lynch, David349@jhu.edu
Judi Dench, Judi211@jhu.edu
Rebecca Hall, Rebecca10080@jhu.edu
Emmy Rossum, Emmy10223@jhu.edu
Gus Van Sant, Gus172@jhu.edu
Martin Scorsese, Martin221@jhu.edu
Jake Gyllenhaal, Jake233@jhu.edu
Paul Giamatti, Paul232@jhu.edu
Amy Ryan, Amy193@jhu.edu
Naomi Watts, Naomi289@jhu.edu
James Cameron, James145@jhu.edu
Chiwetel Ejiofor, Chiwetel10157@jhu.edu
Ralph Fiennes, Ralph10097@jhu.edu
Kieran Culkin, Kieran10298@jhu.edu
Ken Watanabe, Ken284@jhu.edu
Catherine Keener, Catherine241@jhu.edu
Peter Weir, Peter298@jhu.edu
Brendan Gleeson, Brendan10088@jhu.edu
Colin Firth, Colin103@jhu.edu
Ben Kingsley, Ben276@jhu.edu
Björk, Björk10357@jhu.edu
Susan Sarandon, Susan10305@jhu.edu
Sally Hawkins, Sally10081@jhu.edu
Holly Hunter, Holly293@jhu.edu
John Cusack, John10373@jhu.edu
Tom Wilkinson, Tom184@jhu.edu
Kevin Kline, Kevin10229@jhu.edu
Philip Seymour Hoffman, Philip157@jhu.edu
Anthony Minghella, Anthony10280@jhu.edu
Joaquin Phoenix, Joaquin228@jhu.edu
Marisa Tomei, Marisa169@jhu.edu
Emma Stone, Emma10014@jhu.edu
Julie Christie, Julie186@jhu.edu
Daniel Day-Lewis, Daniel176@jhu.edu
Jamie Lee Curtis, Jamie10257@jhu.edu
Gene Hackman, Gene10333@jhu.edu
Meryl Streep, Meryl139@jhu.edu
